Timestamp,Mode,PacketID,UUID,SNR_dB,RSSI_dBm,LossRate
2026-07-01T22:38:33.611457,FORM,16,6929fad5-c0f9-4a27-84d6-b6793220910e,7.25,-43,94.12
2026-07-01T22:38:34.140440,FORM,17,6929fad5-c0f9-4a27-84d6-b6793220910e,7.00,-43,88.89
2026-07-01T22:38:34.669562,FORM,18,6929fad5-c0f9-4a27-84d6-b6793220910e,6.50,-43,84.21
2026-07-01T22:38:35.198444,FORM,19,6929fad5-c0f9-4a27-84d6-b6793220910e,7.00,-43,80.00
2026-07-01T22:38:35.727702,FORM,20,6929fad5-c0f9-4a27-84d6-b6793220910e,6.75,-43,76.19
2026-07-01T22:38:36.256603,FORM,21,6929fad5-c0f9-4a27-84d6-b6793220910e,7.50,-43,72.73
2026-07-01T22:38:36.785873,FORM,22,6929fad5-c0f9-4a27-84d6-b6793220910e,7.25,-43,69.57
2026-07-01T22:38:37.314592,FORM,23,6929fad5-c0f9-4a27-84d6-b6793220910e,7.00,-42,66.67
2026-07-01T22:38:37.843658,FORM,24,6929fad5-c0f9-4a27-84d6-b6793220910e,7.00,-43,64.00
2026-07-01T22:38:38.372693,FORM,25,6929fad5-c0f9-4a27-84d6-b6793220910e,6.25,-43,61.54
2026-07-01T22:38:38.901791,FORM,26,6929fad5-c0f9-4a27-84d6-b6793220910e,7.00,-43,59.26
2026-07-01T22:38:39.430962,FORM,27,6929fad5-c0f9-4a27-84d6-b6793220910e,7.75,-44,57.14
2026-07-01T22:38:39.959858,FORM,28,6929fad5-c0f9-4a27-84d6-b6793220910e,6.50,-43,55.17
2026-07-01T22:38:40.488979,FORM,29,6929fad5-c0f9-4a27-84d6-b6793220910e,6.50,-43,53.33
2026-07-01T22:38:41.017726,FORM,30,6929fad5-c0f9-4a27-84d6-b6793220910e,7.25,-43,51.61
2026-07-01T22:38:41.546871,FORM,31,6929fad5-c0f9-4a27-84d6-b6793220910e,6.75,-43,50.00
2026-07-01T22:38:42.075873,FORM,32,6929fad5-c0f9-4a27-84d6-b6793220910e,7.25,-43,48.48
