Timestamp,Mode,PacketID,UUID,SNR_dB,RSSI_dBm,LossRate
2026-06-30T23:40:42.943448,FORM,0,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-51,0.00
2026-06-30T23:40:43.471617,FORM,1,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-51,0.00
2026-06-30T23:40:44.000631,FORM,2,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-51,0.00
2026-06-30T23:40:44.529670,FORM,3,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-52,0.00
2026-06-30T23:40:45.058719,FORM,4,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-52,0.00
2026-06-30T23:40:45.587655,FORM,5,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-52,0.00
2026-06-30T23:40:46.116784,FORM,6,a8830e37-e8d7-4841-ad83-574327d93dfb,7.75,-50,0.00
2026-06-30T23:40:46.645965,FORM,7,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-51,0.00
2026-06-30T23:40:47.174611,FORM,8,a8830e37-e8d7-4841-ad83-574327d93dfb,7.75,-50,0.00
2026-06-30T23:40:47.703700,FORM,9,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-51,0.00
2026-06-30T23:40:48.232878,FORM,10,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-50,0.00
2026-06-30T23:40:48.761829,FORM,11,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-49,0.00
2026-06-30T23:40:49.290936,FORM,12,a8830e37-e8d7-4841-ad83-574327d93dfb,7.50,-50,0.00
2026-06-30T23:40:49.819975,FORM,13,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-50,0.00
2026-06-30T23:40:50.349026,FORM,14,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-50,0.00
2026-06-30T23:40:50.877636,FORM,15,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-49,0.00
2026-06-30T23:40:51.406709,FORM,16,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-48,0.00
2026-06-30T23:40:51.935918,FORM,17,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-49,0.00
2026-06-30T23:40:52.464747,FORM,18,a8830e37-e8d7-4841-ad83-574327d93dfb,6.25,-52,0.00
2026-06-30T23:40:52.994052,FORM,19,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-59,0.00
2026-06-30T23:40:53.523046,FORM,20,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-48,0.00
2026-06-30T23:40:54.051684,FORM,21,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-50,0.00
2026-06-30T23:40:54.581075,FORM,22,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-49,0.00
2026-06-30T23:40:55.110007,FORM,23,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-47,0.00
2026-06-30T23:40:55.639014,FORM,24,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-49,0.00
2026-06-30T23:40:56.167983,FORM,25,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-48,0.00
2026-06-30T23:40:56.696938,FORM,26,a8830e37-e8d7-4841-ad83-574327d93dfb,6.50,-47,0.00
2026-06-30T23:40:57.226145,FORM,27,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-48,0.00
2026-06-30T23:40:57.754773,FORM,28,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-50,0.00
2026-06-30T23:40:58.283891,FORM,29,a8830e37-e8d7-4841-ad83-574327d93dfb,6.50,-59,0.00
2026-06-30T23:40:58.812974,FORM,30,a8830e37-e8d7-4841-ad83-574327d93dfb,7.50,-56,0.00
2026-06-30T23:40:59.341816,FORM,31,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-53,0.00
2026-06-30T23:40:59.871075,FORM,32,a8830e37-e8d7-4841-ad83-574327d93dfb,7.50,-52,0.00
2026-06-30T23:41:00.400021,FORM,33,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-52,0.00
2026-06-30T23:41:00.929045,FORM,34,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-53,0.00
2026-06-30T23:41:01.458058,FORM,35,a8830e37-e8d7-4841-ad83-574327d93dfb,7.75,-53,0.00
2026-06-30T23:41:01.986982,FORM,36,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-53,0.00
2026-06-30T23:41:02.515758,FORM,37,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-52,0.00
2026-06-30T23:41:03.045062,FORM,38,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-52,0.00
2026-06-30T23:41:03.574127,FORM,39,a8830e37-e8d7-4841-ad83-574327d93dfb,6.50,-52,0.00
2026-06-30T23:41:04.102857,FORM,40,a8830e37-e8d7-4841-ad83-574327d93dfb,6.50,-52,0.00
2026-06-30T23:41:04.632012,FORM,41,a8830e37-e8d7-4841-ad83-574327d93dfb,6.25,-52,0.00
2026-06-30T23:41:05.161122,FORM,42,a8830e37-e8d7-4841-ad83-574327d93dfb,6.75,-47,0.00
2026-06-30T23:41:05.690090,FORM,43,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-47,0.00
2026-06-30T23:41:06.218824,FORM,44,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-48,0.00
2026-06-30T23:41:06.748044,FORM,45,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-47,0.00
2026-06-30T23:41:07.277092,FORM,46,a8830e37-e8d7-4841-ad83-574327d93dfb,6.50,-48,0.00
2026-06-30T23:41:07.806257,FORM,47,a8830e37-e8d7-4841-ad83-574327d93dfb,7.00,-50,0.00
2026-06-30T23:41:08.335263,FORM,48,a8830e37-e8d7-4841-ad83-574327d93dfb,7.25,-49,0.00
2026-06-30T23:41:08.863941,FORM,49,a8830e37-e8d7-4841-ad83-574327d93dfb,8.00,-49,0.00
