Timestamp,Mode,PacketID,UUID,SNR_dB,RSSI_dBm,LossRate
2026-07-03T00:09:56.911553,FORM,0,d82f37f2-1f0f-4d31-8d7a-28bccc583663,4.50,-105,0.00
2026-07-03T00:09:59.618787,FORM,2,d82f37f2-1f0f-4d31-8d7a-28bccc583663,4.00,-102,33.33
2026-07-03T00:10:00.972781,FORM,3,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.25,-102,25.00
2026-07-03T00:10:02.326786,FORM,4,d82f37f2-1f0f-4d31-8d7a-28bccc583663,3.75,-101,20.00
2026-07-03T00:10:03.680949,FORM,5,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.00,-103,16.67
2026-07-03T00:10:05.034880,FORM,6,d82f37f2-1f0f-4d31-8d7a-28bccc583663,2.75,-101,14.29
2026-07-03T00:10:06.388901,FORM,7,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.50,-103,12.50
2026-07-03T00:10:07.743073,FORM,8,d82f37f2-1f0f-4d31-8d7a-28bccc583663,3.50,-105,11.11
2026-07-03T00:10:09.096777,FORM,9,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.00,-104,10.00
2026-07-03T00:10:11.804788,FORM,11,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.50,-103,16.67
2026-07-03T00:10:13.159123,FORM,12,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.75,-102,15.38
2026-07-03T00:10:14.513043,FORM,13,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.75,-104,14.29
2026-07-03T00:10:15.866974,FORM,14,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.25,-103,13.33
2026-07-03T00:10:17.221130,FORM,15,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.00,-103,12.50
2026-07-03T00:10:18.575116,FORM,16,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.50,-104,11.76
2026-07-03T00:10:19.929171,FORM,17,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.25,-104,11.11
2026-07-03T00:10:21.283292,FORM,18,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.50,-104,10.53
2026-07-03T00:10:23.991392,FORM,20,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.25,-104,14.29
2026-07-03T00:10:26.699544,FORM,22,d82f37f2-1f0f-4d31-8d7a-28bccc583663,-4.00,-101,17.39
2026-07-03T00:10:28.053237,FORM,23,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.50,-103,16.67
2026-07-03T00:10:29.407353,FORM,24,d82f37f2-1f0f-4d31-8d7a-28bccc583663,2.75,-105,16.00
2026-07-03T00:10:30.761385,FORM,25,d82f37f2-1f0f-4d31-8d7a-28bccc583663,7.00,-102,15.38
2026-07-03T00:10:32.115504,FORM,26,d82f37f2-1f0f-4d31-8d7a-28bccc583663,7.25,-103,14.81
2026-07-03T00:10:33.469366,FORM,27,d82f37f2-1f0f-4d31-8d7a-28bccc583663,7.00,-102,14.29
2026-07-03T00:10:34.823427,FORM,28,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.50,-105,13.79
2026-07-03T00:10:36.177191,FORM,29,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.00,-104,13.33
2026-07-03T00:10:47.009591,FORM,37,d82f37f2-1f0f-4d31-8d7a-28bccc583663,0.75,-109,28.95
2026-07-03T00:10:52.425644,FORM,41,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.00,-105,33.33
2026-07-03T00:10:55.133572,FORM,43,d82f37f2-1f0f-4d31-8d7a-28bccc583663,1.25,-108,34.09
2026-07-03T00:11:15.443489,FORM,58,d82f37f2-1f0f-4d31-8d7a-28bccc583663,6.50,-103,49.15
2026-07-03T00:11:23.567614,FORM,64,d82f37f2-1f0f-4d31-8d7a-28bccc583663,4.50,-106,52.31
2026-07-03T00:11:28.983982,FORM,68,d82f37f2-1f0f-4d31-8d7a-28bccc583663,2.00,-107,53.62
2026-07-03T00:11:30.338082,FORM,69,d82f37f2-1f0f-4d31-8d7a-28bccc583663,1.50,-108,52.86
2026-07-03T00:11:49.294237,FORM,83,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.00,-105,59.52
2026-07-03T00:11:52.002071,FORM,85,d82f37f2-1f0f-4d31-8d7a-28bccc583663,2.25,-106,59.30
2026-07-03T00:11:56.064053,FORM,88,d82f37f2-1f0f-4d31-8d7a-28bccc583663,0.25,-102,59.55
2026-07-03T00:11:57.418215,FORM,89,d82f37f2-1f0f-4d31-8d7a-28bccc583663,3.00,-107,58.89
2026-07-03T00:12:00.126240,FORM,91,d82f37f2-1f0f-4d31-8d7a-28bccc583663,2.00,-101,58.70
2026-07-03T00:12:01.480119,FORM,92,d82f37f2-1f0f-4d31-8d7a-28bccc583663,2.75,-106,58.06
2026-07-03T00:12:05.541950,FORM,95,d82f37f2-1f0f-4d31-8d7a-28bccc583663,4.50,-104,58.33
2026-07-03T00:12:08.250208,FORM,97,d82f37f2-1f0f-4d31-8d7a-28bccc583663,5.00,-105,58.16
2026-07-03T00:12:09.603952,FORM,98,d82f37f2-1f0f-4d31-8d7a-28bccc583663,1.50,-106,57.58
